word,rank,score
cigar,0.00326,0.0083
rebut,0.00019,0.00248
sissy,0.00115,0.00637
humph,0.00005,0.00057
awake,0.00263,0.00141
blush,0.0014,0.00199
focal,0.00476,0.00622
evade,0.00049,0.00017
naval,0.0066,0.00112
serve,0.02992,0.00895
heath,0.005,0.00403
dwarf,0.0025,0.0002
model,0.13141,0.01561
karma,0.00559,0.00347
stink,0.00071,0.00198
grade,0.04424,0.01325
quiet,0.01365,0.00409
bench,0.00733,0.00528
abate,0.00038,0.00126
feign,0.0001,0.00567
major,0.09993,0.00084
death,0.06784,0.01126
fresh,0.03161,0.00233
crust,0.00185,0.00539
stool,0.00247,0.00153
colon,0.00448,0.00753
abase,0.00002,0.00072
marry,0.00358,0.02179
react,0.00336,0.0093
batty,0.00034,0.01836
pride,0.01176,0.01511
floss,0.00083,0.01044
helix,0.00238,0.00104
croak,0.00014,0.0059
staff,0.12354,0.00011
paper,0.11,0.01371
unfed,0.00002,0.00055
whelp,0.00006,0.00056
trawl,0.00045,0.00144
outdo,0.00012,0.00044
adobe,0.02245,0.00056
crazy,0.01878,0.00437
sower,0.00011,0.03457
repay,0.00142,0.0129
digit,0.0057,0.00272
crate,0.0019,0.03645
cluck,0.00011,0.00056
spike,0.00394,0.0071
mimic,0.00097,0.00045
pound,0.0111,0.01931
maxim,0.00311,0.00042
linen,0.00404,0.01173
unmet,0.00048,0.0014
flesh,0.00552,0.00173
booby,0.00031,0.00491
forth,0.01643,0.01228
first,0.4713,0.0092
stand,0.03774,0.00746
belly,0.00599,0.01564
ivory,0.00583,0.0002
seedy,0.00023,0.01711
print,0.14531,0.01206
yearn,0.00025,0.00345
drain,0.00523,0.00922
bribe,0.00053,0.00411
stout,0.00158,0.00134
panel,0.04384,0.05127
crass,0.00033,0.02718
flume,0.00014,0.00422
offal,0.00016,0.00001
agree,0.03872,0.00292
error,0.07287,0.00133
swirl,0.00102,0.00227
argue,0.00681,0.00382
bleed,0.00162,0.01332
delta,0.02287,0.01431
flick,0.00181,0.00114
totem,0.00078,0.00555
wooer,0,0.01661
front,0.08224,0.00791
shrub,0.00119,0.0006
parry,0.00112,0.02691
biome,0.00014,0.01893
lapel,0.00091,0.00651
start,0.13199,0.003
greet,0.00145,0.01114
goner,0.00007,0.04997
golem,0.00036,0.01195
lusty,0.00057,0.01054
loopy,0.00021,0.00807
round,0.05041,0.01417
audit,0.01694,0.00543
lying,0.00673,0.00045
gamma,0.02888,0.00167
labor,0.03087,0.00508
islet,0.0004,0.00055
civic,0.00838,0.00028
forge,0.00426,0.02392
corny,0.00031,0.05886
moult,0.00006,0.01353
basic,0.06916,0.00304
salad,0.00727,0.03302
agate,0.00073,0.00116
spicy,0.00258,0.00492
spray,0.01235,0.01484
essay,0.00958,0.00026
fjord,0.00032,0.0001
spend,0.02178,0.00508
kebab,0.0002,0.00016
guild,0.00646,0.01255
aback,0.00022,0.0001
motor,0.03311,0.00522
alone,0.03206,0.01519
hatch,0.00318,0.00126
hyper,0.00257,0.00185
thumb,0.00594,0.00018
dowry,0.00022,0.00897
ought,0.00613,0.00048
belch,0.00009,0.00466
dutch,0.01549,0.00185
pilot,0.01786,0.01267
tweed,0.00133,0.0028
comet,0.00254,0.04142
jaunt,0.00015,0.00435
enema,0.00108,0.00031
steed,0.00057,0.00786
abyss,0.00094,0.00032
growl,0.00038,0.0009
fling,0.00056,0.00122
dozen,0.00797,0.00623
boozy,0.00006,0.00384
erode,0.00063,0.00252
world,0.3521,0.01633
gouge,0.0002,0.00712
click,0.43754,0.00088
briar,0.00051,0.00806
great,0.24576,0.0103
altar,0.00214,0.00285
pulpy,0.00003,0.00584
blurt,0.00007,0.00548
coast,0.0389,0.02225
duchy,0.00028,0.00241
groin,0.00064,0.00691
fixer,0.00045,0.00427
group,0.26236,0.00087
rogue,0.00373,0.00726
badly,0.00431,0.02001
smart,0.02987,0.00472
pithy,0.00016,0.00554
gaudy,0.0002,0.01466
chill,0.00366,0.00241
heron,0.00129,0.00876
vodka,0.00176,0.00168
finer,0.00119,0.03079
surer,0.00006,0.04324
radio,0.09235,0.00473
rouge,0.00496,0.01405
perch,0.00101,0.00621
retch,0.00003,0.00234
wrote,0.04599,0.01304
clock,0.0217,0.00083
tilde,0.00028,0.01709
store,0.23747,0.01005
prove,0.01308,0.00469
bring,0.04696,0.00252
solve,0.01097,0.01633
cheat,0.00807,0.00862
grime,0.00042,0.0096
exult,0.00012,0.00016
usher,0.00403,0.00008
epoch,0.00137,0.00025
triad,0.00124,0.01773
break,0.04177,0.00519
rhino,0.00214,0.00274
viral,0.00487,0.0051
conic,0.00018,0.00258
masse,0.00042,0.00815
sonic,0.00595,0.00876
vital,0.01155,0.00262
trace,0.00954,0.01461
using,0.21965,0.00005
peach,0.00321,0.00641
champ,0.00234,0.00092
baton,0.00345,0.01164
brake,0.0076,0.02003
pluck,0.00073,0.00104
craze,0.00078,0.00512
gripe,0.00044,0.00998
weary,0.00133,0.01917
picky,0.00058,0.00752
acute,0.00907,0.00294
ferry,0.00751,0.01345
aside,0.00959,0.00129
tapir,0.00007,0.00989
troll,0.00169,0.00347
unify,0.00051,0.00052
rebus,0.00019,0.01351
boost,0.01115,0.00878
truss,0.00121,0.01299
siege,0.00205,0.01525
tiger,0.01122,0.0159
banal,0.00021,0.01255
slump,0.00072,0.00107
crank,0.00178,0.00541
gorge,0.00159,0.01281
query,0.0255,0.00189
drink,0.02385,0.0034
favor,0.00967,0.00378
abbey,0.00344,0.00075
tangy,0.00027,0.02422
panic,0.00521,0.00519
solar,0.01665,0.04998
shire,0.00217,0.02429
proxy,0.00878,0.00031
point,0.14309,0.02684
robot,0.01032,0.00277
prick,0.00073,0.0022
wince,0.00058,0.00841
crimp,0.00052,0.00134
knoll,0.00079,0.00059
sugar,0.0183,0.01209
whack,0.00059,0.00072
mount,0.02987,0.01381
perky,0.00111,0.02703
could,0.24644,0.02033
wrung,0.0001,0.00072
light,0.10328,0.00123
those,0.22011,0.00861
moist,0.00174,0.01422
shard,0.00023,0.01548
pleat,0.00022,0.01026
aloft,0.00041,0.00215
skill,0.01291,0.00071
elder,0.00595,0.00161
frame,0.03756,0.01056
humor,0.01474,0.00345
pause,0.00375,0.02525
ulcer,0.00109,0.00202
ultra,0.01777,0.00099
robin,0.00931,0.00512
cynic,0.00043,0.00033
aroma,0.00165,0.00234
caulk,0.0002,0.00687
shake,0.00558,0.01999
dodge,0.01204,0.00446
swill,0.00008,0.00122
tacit,0.00048,0.00577
other,0.79763,0.00029
thorn,0.00116,0.00417
trove,0.00057,0.00447
bloke,0.00063,0.01189
vivid,0.00365,0.00048
spill,0.00317,0.00171
chant,0.00112,0.00886
choke,0.00118,0.00943
rupee,0.00231,0.01193
nasty,0.00606,0.01136
mourn,0.00064,0.00917
ahead,0.02313,0.00391
brine,0.00067,0.02675
cloth,0.00796,0.00523
hoard,0.00035,0.01857
sweet,0.02634,0.00473
month,0.10029,0.01147
lapse,0.00119,0.00924
watch,0.075,0.00213
today,0.19505,0.02316
focus,0.0535,0.01934
smelt,0.00025,0.00363
tease,0.00165,0.01602
cater,0.00171,0.04994
movie,0.12914,0.01164
saute,0.00045,0.08019
allow,0.05466,0.00024
renew,0.00535,0.00182
their,0.63816,0.00579
slosh,0.00004,0.00255
purge,0.00111,0.01949
chest,0.01102,0.00414
depot,0.0079,0.00508
epoxy,0.00156,0.00003
nymph,0.00057,0.00017
found,0.18912,0.01342
shall,0.15648,0.00482
harry,0.02761,0.01534
stove,0.00319,0.00218
lowly,0.00044,0.00408
snout,0.00021,0.00388
trope,0.00009,0.01205
fewer,0.0088,0.00512
shawl,0.00082,0.0016
natal,0.00245,0.00288
comma,0.00221,0.00335
foray,0.00041,0.0519
scare,0.00242,0.00924
stair,0.00164,0.00681
black,0.19946,0.00204
squad,0.00713,0.00034
royal,0.03701,0.00357
chunk,0.00193,0.00169
mince,0.00027,0.01418
shame,0.00553,0.01607
cheek,0.00219,0.0033
ample,0.0026,0.00147
flair,0.00157,0.00757
foyer,0.00085,0.01036
cargo,0.00795,0.0102
oxide,0.00434,0.00028
plant,0.04341,0.01054
olive,0.00758,0.00113
inert,0.00076,0.00065
askew,0.00039,0.00007
heist,0.00034,0.00778
shown,0.05605,0.00143
zesty,0.00017,0.00264
hasty,0.00057,0.01705
trash,0.00578,0.00448
fella,0.00052,0.00537
larva,0.00038,0.00205
forgo,0.00028,0.00305
story,0.11285,0.00858
hairy,0.01554,0.02687
train,0.02594,0.01103
homer,0.00349,0.02034
badge,0.00501,0.01284
midst,0.00276,0.00349
canny,0.00017,0.0255
shine,0.00479,0.0267
butch,0.00099,0.00247
farce,0.00059,0.02486
slung,0.00021,0.00204
tipsy,0.00023,0.00683
metal,0.0458,0.00884
yield,0.01225,0.00349
delve,0.00052,0.00277
being,0.19791,0.00435
scour,0.00034,0.00183
glass,0.05181,0.01396
gamer,0.00256,0.02868
scrap,0.00306,0.0013
money,0.15505,0.10492
hinge,0.00143,0.01038
album,0.06351,0.00031
vouch,0.00032,0.00126
asset,0.01482,0.00077
tiara,0.00075,0.00845
crept,0.00048,0.00579
bayou,0.00114,0.00051
atoll,0.00074,0.0008
manor,0.00578,0.0176
creak,0.0001,0.00526
showy,0.00024,0.0035
phase,0.0332,0.01129
froth,0.00023,0.00456
depth,0.02599,0.00331
gloom,0.00072,0.0007
flood,0.0114,0.00294
trait,0.00139,0.00756
girth,0.0004,0.00867
piety,0.00049,0.03034
payer,0.00117,0.01609
goose,0.00305,0.01291
float,0.00718,0.008
donor,0.00579,0.00801
atone,0.00012,0.00521
primo,0.00074,0.00329
apron,0.00132,0.00185
blown,0.00345,0.00106
cacao,0.00027,0.00283
loser,0.00206,0.02495
input,0.04662,0.00015
gloat,0.00009,0.00856
awful,0.00425,0.0001
brink,0.00121,0.00452
smite,0.00022,0.0105
beady,0.00007,0.02783
rusty,0.00227,0.01151
retro,0.00652,0.00218
droll,0.00016,0.0029
gawky,0.00003,0.00633
hutch,0.00112,0.00066
pinto,0.0009,0.00988
gaily,0.00011,0.03776
egret,0.00032,0.00057
lilac,0.00142,0.00115
sever,0.00056,0.01189
field,0.11028,0.01149
fluff,0.00066,0.00004
hydro,0.00304,0.00035
flack,0.00033,0.00134
agape,0.00034,0.00054
voice,0.05266,0.0082
stead,0.00059,0.00726
stalk,0.00076,0.00229
berth,0.00086,0.01454
madam,0.00165,0.001
night,0.10641,0.00069
bland,0.00131,0.01264
liver,0.0099,0.00744
wedge,0.00258,0.00209
augur,0.0001,0.00106
roomy,0.00047,0.00848
wacky,0.00152,0.00591
flock,0.00211,0.00107
angry,0.00755,0.00214
bobby,0.00731,0.00166
trite,0.00023,0.0137
aphid,0.00024,0.00036
tryst,0.00017,0.00076
midge,0.00025,0.00599
power,0.18472,0.01895
elope,0.00006,0.00166
cinch,0.00035,0.00227
motto,0.00154,0.00259
stomp,0.00095,0.00055
upset,0.00452,0.00097
bluff,0.00318,0.0001
cramp,0.00033,0.00158
quart,0.00163,0.00149
coyly,0.00004,0.00513
youth,0.04192,0.00208
rhyme,0.00125,0.00112
buggy,0.00159,0.00267
alien,0.00855,0.01656
smear,0.00105,0.00467
unfit,0.00066,0.00019
patty,0.00191,0.01732
cling,0.00077,0.00189
glean,0.00019,0.00557
label,0.03372,0.00599
hunky,0.00023,0.00901
khaki,0.00121,0.00044
poker,0.1052,0.01874
gruel,0.00007,0.01101
twice,0.01626,0.00215
twang,0.0002,0.00046
shrug,0.00059,0.00146
treat,0.01585,0.00659
unlit,0.00008,0.00088
waste,0.0335,0.01683
merit,0.00526,0.02153
woven,0.00346,0.00636
octal,0.00045,0.00036
needy,0.00133,0.00356
clown,0.00251,0.00108
widow,0.0031,0.00012
irony,0.0018,0.00392
ruder,0.00007,0.00567
gauze,0.00045,0.0046
chief,0.03725,0.0025
onset,0.00315,0.00203
prize,0.01321,0.00404
fungi,0.00163,0.002
charm,0.0086,0.00202
gully,0.00065,0.00801
inter,0.01245,0.00137
whoop,0.00027,0.00028
taunt,0.00024,0.00877
leery,0.00014,0.00958
class,0.15577,0.02016
theme,0.03034,0.003
lofty,0.00083,0.00624
tibia,0.00051,0.00281
booze,0.00096,0.0045
